company	date	sentiment	time
KMB	Jun-09	1	2009-06
KMB	Mar-09	0.266666667	2009-03
PVH	Jan-10	0.193181818	2010-01
PVH	Nov-09	0.466666667	2009-11
PVH	Sep-09	0.25	2009-09
PVH	Aug-09	-0.155555556	2009-08
PVH	Jul-09	-0.625	2009-07
PVH	May-09	0.25	2009-05
PVH	Dec-08	0.25	2008-12
PEAK	Jun-18	0.35	2018-06
PEAK	Jun-09	0.8	2009-06
PEAK	Mar-09	0.4	2009-03
NEM	Nov-08	0.366666667	2008-11
EL	Aug-09	0.375	2009-08
EL	Jul-09	0.16	2009-07
EL	Oct-08	0.5	2008-10
GD	Aug-09	0.5	2009-08
GD	Jan-09	-0.3	2009-01
GD	Dec-08	0.8	2008-12
CAH	Sep-09	0.25	2009-09
HRB	Mar-09	0.2	2009-03
PM	Apr-09	0.311111111	2009-04
PM	Mar-09	-0.1875	2009-03
PM	Nov-08	0.2	2008-11
PM	Aug-08	0.54	2008-08
PM	Jul-08	0.425	2008-07
CNP	Mar-10	0.233333333	2010-03
CNP	Nov-09	0.357142857	2009-11
CNP	Feb-09	-0.75	2009-02
RE	Aug-11	0.318181818	2011-08
RE	Apr-10	0.35	2010-04
RE	Mar-10	0.25	2010-03
RE	Feb-10	-0.2	2010-02
RE	Jan-10	-0.3	2010-01
RE	Sep-09	0.5	2009-09
RE	Aug-09	0.5	2009-08
RE	Jun-09	0.5	2009-06
RE	Apr-09	-0.155555556	2009-04
RE	Dec-08	0.16	2008-12
MCO	Oct-08	0.8	2008-10
MCO	Sep-08	-0.2	2008-09
AVB	Apr-09	0.216666667	2009-04
AVB	Feb-09	-0.25	2009-02
AVB	Jan-09	0.2	2009-01
DGX	Aug-11	0.8375	2011-08
DGX	Jun-10	0.4	2010-06
DGX	Oct-09	0.15	2009-10
DGX	Aug-09	0.15	2009-08
DGX	Feb-09	-0.166666667	2009-02
DGX	Dec-08	0.166666667	2008-12
ALL	Apr-09	0.261904762	2009-04
ALL	Feb-09	0.16	2009-02
ALL	Jan-09	-0.3	2009-01
ALL	Aug-08	0.35	2008-08
HII	Sep-10	-0.4	2010-09
HII	Aug-10	0.25	2010-08
HII	May-10	0.2	2010-05
HII	Oct-09	-0.2875	2009-10
HII	Sep-09	0.25	2009-09
CBRE	Oct-16	0.2	2016-10
CBRE	Feb-16	0.433333333	2016-02
CBRE	Oct-15	0.227777778	2015-10
CBRE	Aug-12	0.5	2012-08
GWW	Jul-09	-0.25	2009-07
ALGN	Mar-10	-0.3	2010-03
